text,label
"The senate debated a new education funding bill.",politics
"The mayor announced a transit safety program.",politics
"Voters attended a televised policy debate.",politics
"The cabinet approved climate adaptation rules.",politics
"A court reviewed the election district map.",politics
"The governor signed a healthcare reform package.",politics
"Lawmakers questioned officials about public spending.",politics
"A city council vote changed zoning policy.",politics
"Diplomats met to discuss regional security.",politics
"The campaign released a tax policy proposal.",politics
"Researchers trained a smaller language model.",technology
"The startup launched a new developer API.",technology
"Engineers patched a major browser vulnerability.",technology
"A chipmaker introduced a faster mobile processor.",technology
"The software update improved battery life.",technology
"Cloud providers expanded AI accelerator capacity.",technology
"The robotics team demonstrated warehouse automation.",technology
"A privacy tool blocked third party trackers.",technology
"The database release added vector search.",technology
"Developers adopted a new testing framework.",technology
"The striker scored twice in the final match.",sports
"The coach praised the team's defensive pressure.",sports
"Fans celebrated a dramatic overtime victory.",sports
"The tournament bracket included four top seeds.",sports
"A rookie pitcher earned his first shutout.",sports
"The club signed a veteran midfielder.",sports
"The cyclist won the mountain stage.",sports
"The league announced playoff schedule changes.",sports
"The goalkeeper saved a late penalty.",sports
"The training camp focused on speed and recovery.",sports
